"groupA","interactPositionA","interactionA","groupB","interactPositionB","interactionB","strength","opacity","timepoint"
1,1,"ANGPT1_TEK",5,1,"ANGPT1_TEK",0.573,0.343319352905932,1
1,1,"ANGPT1_TEK",16,1,"ANGPT1_TEK",0.431,0.258238466147394,1
1,1,"ANGPT1_TEK",17,1,"ANGPT1_TEK",0.824,0.493708807669263,1
1,2,"FcRn complex_ALB",6,2,"FcRn complex_ALB",0.346,0.207309766327142,1
1,3,"HBEGF_ERBB4",8,3,"HBEGF_ERBB4",0.272,0.162971839424805,1
1,4,"FZD1_WNT5A",6,4,"FZD1_WNT5A",0.164,0.0982624325943679,1
1,4,"FZD1_WNT5A",14,4,"FZD1_WNT5A",0.468,0.280407429598562,1
1,5,"aVb6 complex_TNC",6,5,"aVb6 complex_TNC",0.313,0.187537447573397,1
1,6,"JAM3_aMb2 complex",3,6,"JAM3_aMb2 complex",0.216,0.129418813660875,1
1,6,"JAM3_aMb2 complex",15,6,"JAM3_aMb2 complex",0.22,0.131815458358298,1
1,7,"IGF1R_IGF2",14,7,"IGF1R_IGF2",0.315,0.188735769922109,1
1,8,"BMP7_BMR1A_ACR2A",7,8,"BMP7_BMR1A_ACR2A",0.123,0.0736968244457759,1
1,9,"CXCL16_CXCR6",11,9,"CXCL16_CXCR6",0.76,0.455362492510485,1
1,9,"CXCL16_CXCR6",16,9,"CXCL16_CXCR6",1.061,0.635710005991612,1
1,10,"GAS6_TYRO3",14,10,"GAS6_TYRO3",0.555,0.332534451767525,1
1,11,"FGF1_FGFR1",9,11,"FGF1_FGFR1",0.216,0.129418813660875,1
1,11,"FGF1_FGFR1",17,11,"FGF1_FGFR1",0.37,0.221689634511684,1
1,12,"IL15_IL15RA",5,12,"IL15_IL15RA",0.141,0.0844817255841821,1
1,12,"IL15_IL15RA",8,12,"IL15_IL15RA",0.145,0.0868783702816057,1
1,12,"IL15_IL15RA",9,12,"IL15_IL15RA",0.129,0.0772917914919113,1
1,13,"FGF1_FGFR2",7,13,"FGF1_FGFR2",0.299,0.179149191132415,1
1,14,"BMP7_BMR1B_AVR2B",7,14,"BMP7_BMR1B_AVR2B",0.2,0.11983223487118,1
1,14,"BMP7_BMR1B_AVR2B",12,14,"BMP7_BMR1B_AVR2B",0.158,0.0946674655482325,1
1,14,"BMP7_BMR1B_AVR2B",17,14,"BMP7_BMR1B_AVR2B",0.351,0.210305572198921,1
1,15,"BMP7_BMR1B_AVR2A",7,15,"BMP7_BMR1B_AVR2A",0.2,0.11983223487118,1
1,15,"BMP7_BMR1B_AVR2A",12,15,"BMP7_BMR1B_AVR2A",0.158,0.0946674655482325,1
1,15,"BMP7_BMR1B_AVR2A",17,15,"BMP7_BMR1B_AVR2A",0.351,0.210305572198921,1
1,16,"TTR_DDR1",2,16,"TTR_DDR1",0.383,0.22947872977831,1
1,16,"TTR_DDR1",6,16,"TTR_DDR1",0.573,0.343319352905932,1
1,16,"TTR_DDR1",7,16,"TTR_DDR1",0.678,0.406231276213301,1
1,16,"TTR_DDR1",8,16,"TTR_DDR1",0.483,0.289394847213901,1
1,16,"TTR_DDR1",9,16,"TTR_DDR1",0.545,0.326542840023966,1
1,16,"TTR_DDR1",12,16,"TTR_DDR1",0.473,0.283403235470342,1
1,17,"BMP7_BMPR1B_BMPR2",7,17,"BMP7_BMPR1B_BMPR2",0.2,0.11983223487118,1
1,17,"BMP7_BMPR1B_BMPR2",12,17,"BMP7_BMPR1B_BMPR2",0.158,0.0946674655482325,1
1,17,"BMP7_BMPR1B_BMPR2",17,17,"BMP7_BMPR1B_BMPR2",0.351,0.210305572198921,1
1,18,"CLEC2D_FAM3C",3,18,"CLEC2D_FAM3C",0.635,0.380467345715998,1
1,18,"CLEC2D_FAM3C",5,18,"CLEC2D_FAM3C",0.646,0.387058118633913,1
1,18,"CLEC2D_FAM3C",6,18,"CLEC2D_FAM3C",0.589,0.352905931695626,1
1,18,"CLEC2D_FAM3C",7,18,"CLEC2D_FAM3C",0.67,0.401437986818454,1
1,18,"CLEC2D_FAM3C",9,18,"CLEC2D_FAM3C",0.601,0.360095865787897,1
1,18,"CLEC2D_FAM3C",12,18,"CLEC2D_FAM3C",0.591,0.354104254044338,1
1,18,"CLEC2D_FAM3C",14,18,"CLEC2D_FAM3C",0.803,0.481126423007789,1
1,18,"CLEC2D_FAM3C",16,18,"CLEC2D_FAM3C",0.661,0.396045536249251,1
1,18,"CLEC2D_FAM3C",17,18,"CLEC2D_FAM3C",1.277,0.765128819652486,1
1,19,"GAS6_MERTK",2,19,"GAS6_MERTK",0.535,0.320551228280407,1
1,19,"GAS6_MERTK",4,19,"GAS6_MERTK",0.549,0.32893948472139,1
1,19,"GAS6_MERTK",5,19,"GAS6_MERTK",0.54,0.323547034152187,1
1,19,"GAS6_MERTK",9,19,"GAS6_MERTK",0.522,0.312762133013781,1
